"","study","AbsSusc_0.75_DurCompImm=_30_RedShed=_1_DurmAbs=_2.4","AbsSusc_0.75_DurCompImm=_30_RedShed=_50_DurmAbs=_2.4","AbsSusc_0.75_DurCompImm=_30_RedShed=_25_DurmAbs=_2.4"
"1","Egypt_ali_syst","4.2 (3.7, 5.1)","1.9 (1.8, 2.1)","2.7 (2.5, 3)"
"2","Egypt_kandeil","4 (3.5, 4.7)","1.9 (1.8, 2)","2.6 (2.4, 2.8)"
"3","Ethiopia_reusken_eth","14.9 (9.6, 44)","3 (2.6, 4.9)","5 (4.1, 8.9)"
"4","Kenya_deem","2.6 (2.1, 3.5)","1.7 (1.4, 1.8)","2 (1.6, 2.4)"
"5","Kenya_munyua","6.8 (5.5, 13.4)","2.3 (2.2, 2.9)","3.5 (3.1, 4.8)"
"6","Kenya_ommeh","2.9 (2.5, 3.7)","1.7 (1.6, 1.9)","2.2 (1.9, 2.5)"
"7","Senegal_kandeil","2.9 (2.3, 4.6)","1.7 (1.5, 2)","2.2 (1.8, 2.8)"
"8","Tunisia_kandeil","5.8 (4.6, 12.8)","2.2 (2, 2.8)","3.2 (2.8, 4.7)"
"9","Tunisia_reusken_tun","2.2 (1.8, 3.1)","1.5 (1.3, 1.7)","1.7 (1.5, 2.3)"
"10","Uganda_kandeil","3.2 (2.6, 4.5)","1.8 (1.7, 2)","2.3 (2, 2.7)"
"11","Iraq_kandeil","2.6 (1.7, 35.3)","1.7 (1.3, 4.3)","2 (1.4, 7.8)"
"12","Iraq_thwiny","10.6 (6.4, 43)","2.7 (2.3, 4.8)","4.3 (3.4, 8.8)"
"13","Jordan_kandeil","6.9 (5, 13.8)","2.3 (2.1, 2.9)","3.5 (3, 4.8)"
"14","Jordan_van_doremalen","14.8 (7.8, 43.1)","3 (2.4, 4.8)","5 (3.7, 8.8)"
"15","KSA_alagaili_1992","10.9 (7.2, 36.3)","2.7 (2.4, 4.4)","4.4 (3.6, 7.9)"
"16","KSA_alagaili_2013","7.5 (5.3, 15.7)","2.4 (2.1, 3)","3.6 (3, 5.1)"
"17","KSA_harrath","13.2 (7.5, 43.1)","2.9 (2.4, 4.8)","4.7 (3.7, 8.8)"
"18","KSA_hemida","16.6 (10.4, 41.7)","3.1 (2.6, 4.7)","5.3 (4.3, 8.6)"
"19","KSA_kandeil","4.5 (3.4, 12.6)","2 (1.8, 2.8)","2.7 (2.4, 4.7)"
"20","UAE_wernery_acute","33.7 (18.5, 44.5)","4.2 (3.2, 4.9)","7.6 (5.6, 9)"
"21","Bangladesh_islam","1.7 (1.3, 3.2)","1.3 (1.1, 1.8)","1.4 (1.2, 2.3)"
"22","Pakistan_saqib","1.9 (1.7, 2.3)","1.4 (1.3, 1.5)","1.6 (1.4, 1.8)"
"23","Pakistan_zohaib","3.9 (3.3, 4.9)","1.9 (1.8, 2.1)","2.5 (2.3, 2.9)"
